name,salary,area_name,published_at
Программист IVR,,Москва,2004-05-17 09:56:11.040
Программист-аналитик,14570.25,Москва,2004-08-09 09:41:54.040
Программист Delphi 6.0,28961.2,Москва,2004-05-17 10:04:25.040
Project manager,,Москва,2004-05-17 10:16:41.040
"Software Engineer, Network protocols",,Москва,2004-06-11 12:03:36.040
Software Engineer,,Москва,2004-06-11 12:04:15.040
Руководитель управления банковских технологий,,Москва,2004-05-17 10:50:53.040
Software Engineer,,Москва,2004-06-11 12:05:33.040
Software Engineer,,Москва,2004-06-11 12:05:01.040
Консультант по внедрению,34753.44,Москва,2004-05-17 00:00:00.040
Специалист по работе с базами данных/ Оператор ПК,17376.72,Москва,2004-05-18 00:00:00.040
Менеджер по продажам сетевых решений,34799.16,Москва,2004-06-30 18:51:40.040
Менеджер по продажам СКС,28999.300000000003,Москва,2004-06-30 18:51:40.040
Руководитель инженерной группы IP,46337.920000000006,Москва,2004-05-17 12:32:06.040
Заместитель руководителя отдела Web-технологий,40599.020000000004,Москва,2004-06-01 00:00:00.040
Инженер по ремонту компьютерной техники,14499.650000000001,Москва,2004-06-15 11:17:04.040
Эксперт Отдела системного анализа в банк,,Москва,2004-05-17 12:36:38.040
Sales manager,17376.72,Москва,2004-05-17 13:08:55.040
Электрик-электронщик,17376.72,Санкт-Петербург,2004-05-17 14:14:30.040
"Консультант в отдел: ""Стратегический и Бизнес консалтинг""",,Москва,2004-05-17 14:21:42.040
Marketing Manager/Marketing Group Leader for a world leading IT company,,Москва,2004-05-28 00:00:00.040
Старший специалист в отдел тестирования,26099.370000000003,Москва,2004-06-07 00:00:00.040
Специалист по технической поддержке ПО,20299.510000000002,Москва,2004-06-07 00:00:00.040
Специалист по сопровождению ПО в области Internet-приложений,20299.510000000002,Москва,2004-06-07 00:00:00.040
Специалист по технической поддержке ПО в области компьютерной телефонии,20299.510000000002,Москва,2004-06-07 00:00:00.040
Технический писатель/Документатор (с перспективой руководителя),,Москва,2004-06-09 00:00:00.040
Специалист по технической поддержке ПО в области систем коротких сообщений,20299.510000000002,Москва,2004-06-07 00:00:00.040
Сотрудник отдела технической поддержки,,Москва,2004-05-17 14:58:07.040
Менеджер по продажам,,Москва,2004-05-17 14:58:36.040
Инженер по наладке подсистемы коммутации ( Commissioning engineer SSS ),43498.950000000004,Москва,2004-06-15 10:10:00.040
Web-программист,20272.84,Москва,2004-05-27 00:00:00.040
Менеджер проекта (технологическое оборудование),43498.950000000004,Москва,2004-06-15 09:13:37.040
IT supervisor,57922.4,Москва,2004-05-17 16:45:18.040
Сотрудник службы поддержки пользователей (IT-специалист) в западный банк (IKh- IB/1),31857.320000000003,Москва,2004-05-17 17:09:48.040
Инженер сетевой безопасности,34753.44,Москва,2004-05-17 17:10:23.040
Менеджер по телекоммуникационным проектам,43441.8,Санкт-Петербург,2004-05-17 17:40:20.040
"Инженер по подготовке и внедрению оборудования (SUN, HP)",43441.8,Москва,2004-05-17 21:52:05.040
Инженер по подготовке спецификаций,28961.2,Москва,2004-05-17 21:53:31.040
Аналитик,,Москва,2004-05-17 22:17:44.040
Заместитель начальника отдела системного обеспечения.,,Москва,2004-05-17 23:15:18.040
Software Engineer/Developer,,Москва,2004-07-06 08:41:37.040
Специалист по обслуживанию абонентов контактного центра,14480.6,Москва,2004-05-18 10:45:57.040
Technology Business Promotion Manager,,Москва,2004-05-18 11:04:27.040
Part time IT support,8688.36,Москва,2004-05-18 11:23:09.040
Card Processing Manager/Начальник отдела процессирования и обработки операций,,Москва,2004-06-16 10:10:18.040
Инженер-эксперт отдела внедрения,28999.300000000003,Москва,2004-06-02 00:00:00.040
Специалист в отдел Customer Support (eng),,Москва,2004-05-18 12:47:49.040
Тестер Программного обеспечения,,Санкт-Петербург,2004-05-18 13:02:38.040
Специалист в отдел Customer Support (de),,Москва,2004-06-07 00:00:00.040
Java разработчик для поддержки приложений/ Application support engineer,40796.7,Москва,2004-08-26 19:16:52.040
Старший системный администратор UNIX,72403.0,Москва,2004-05-18 13:47:33.040
Дизайнер,,Москва,2004-06-01 00:00:00.040
Инженер-проектировщик,,Санкт-Петербург,2004-05-18 14:24:48.040
Менеджер проекта в Дирекцию информационных технологий,,Москва,2004-05-18 14:25:27.040
Технический писатель,23199.440000000002,Москва,2004-06-01 00:00:00.040
Старший специалист в службу развития роуминга,,Москва,2004-05-18 14:34:42.040
РАЗРАБОТЧИК СРЕДСТВ ВНУТРЕННЕЙ АВТОМАТИЗАЦИИ,43498.950000000004,Москва,2004-06-29 00:00:00.040
IT- MANAGER,101364.20000000001,Москва,2004-05-18 15:07:37.040
