name,salary_from,salary_to,currency,area_name,published_at
Начальник производства (телеком),,,,Барнаул,2022-12-15T07:06:23+0300
Менеджер по составлению коммерческих предложений/Тендер-менеджер,,,,,2022-12-15T07:55:43+0300
Дизайнер,,,,,2022-12-15T07:21:06+0300
Механик ремонтник/механик-наладчик,,,,Подольск,2022-12-15T07:16:27+0300
Главный механик,70000,70000,RUR,Челябинск,2022-12-15T07:09:26+0300
Эксперт SAP PPM (удаленная работа),250000,350000,RUR,,2022-12-15T07:47:23+0300
Специалист по анализу и разработке производственных технологий,,,,,2022-12-15T07:14:55+0300
Программист 1С,,,,,2022-12-15T07:29:58+0300
Токарь-универсал,53000,57000,RUR,Томск,2022-12-15T07:04:30+0300
Системный администратор Linux,,,,,2022-12-15T07:52:12+0300
Руководитель транспортного отдела/ начальник транспортного участка,80000,100000,RUR,Екатеринбург,2022-12-15T07:59:56+0300
Электромеханик по лифтам аварийной службы,180000,250000,KZT,,2022-12-15T07:46:50+0300
Программист-разработчик 1С,80000,,RUR,Ижевск,2022-12-15T07:39:48+0300
Главный специалист по предиктивной диагностике в единой службе диагностики дирекции по ремонтам,,,,,2022-12-15T07:34:13+0300
Сборщик каркасов мягкой мебели,35000,45000,RUR,Тюмень,2022-12-15T07:15:58+0300
Программист 1С,80000,,RUR,,2022-12-15T07:04:16+0300
Менеджер по анализу и планированию,36250,36250,RUR,,2022-12-15T07:08:49+0300
Аналитик отдела продаж,,,,,2022-12-15T07:56:47+0300
Механик-контролер,25000,,RUR,Кузнецк,2022-12-15T07:35:29+0300
Руководитель проектных продаж,50000,200000,RUR,Екатеринбург,2022-12-15T07:34:54+0300
Электромеханик,,44000,RUR,Воронеж,2022-12-15T07:04:16+0300
Технический директор,45000,,RUR,Первоуральск,2022-12-15T07:40:24+0300
Руководитель проекта (Дорожное строительство),,,,,2022-12-15T07:20:23+0300
Наладчик на карусельный станок,65000,65000,RUR,Челябинск,2022-12-15T07:57:46+0300
Программист 1С,,,,Тюмень,2022-12-15T07:06:18+0300
Руководитель направления сопровождения баз данных,,,,,2022-12-15T07:28:18+0300
Ученик оператора гибочного станка,62000,80000,RUR,Ростов-на-Дону,2022-12-15T07:39:53+0300
Flutter разработчик (junior),200000,300000,KZT,Алматы,2022-12-15T08:39:33+0300
Frontend разработчик на Vue.js,,,,,2022-12-15T08:06:55+0300
Инженер КИПиА,40000,80000,RUR,Киров,2022-12-15T08:45:35+0300
Помощник машиниста экструдера,58000,,RUR,Екатеринбург,2022-12-15T08:22:13+0300
Оператор станков с ЧПУ,80000,120000,RUR,,2022-12-15T08:57:47+0300
DevOps specialist,500000,800000,KZT,Алматы,2022-12-15T08:15:56+0300
Инженер сервисной службы систем отопления,100000,,RUR,,2022-12-15T08:38:35+0300
Наладчик станков с ЧПУ,80000,120000,RUR,,2022-12-15T08:51:31+0300
Разработчик PHP,,300000,RUR,,2022-12-15T08:50:09+0300
Системный администратор,30000,40000,RUR,Оренбург,2022-12-15T08:47:14+0300
Оператор станков с ЧПУ,40000,60000,RUR,,2022-12-15T08:09:11+0300
Механик по транспорту АТ и ДСТ,130000,140000,RUR,,2022-12-15T08:14:53+0300
Техник по информационным системам,40000,40000,RUR,село Тимирязевское,2022-12-15T08:16:58+0300
Заместитель главного инженера,100000,,RUR,,2022-12-15T08:19:23+0300
"Проектный менеджер Департамента управления ОФД ДКБ, г. Алматы",,,,,2022-12-15T08:11:42+0300
Web-разработчик,,,,Пермь,2022-12-15T08:51:31+0300
Заместитель начальника участка буровзрывных работ на ОГР,270000,,RUR,,2022-12-15T08:56:27+0300
Менеджер проектов (Департамент клиентского сервиса),,,,Москва,2022-12-15T08:54:52+0300
Администратор баз данных,,,,Казань,2022-12-15T08:41:05+0300
Графический дизайнер,30000,60000,RUR,Жуковский,2022-12-15T08:57:27+0300
Инженер по автоматизированным системам управления производством (помощник системного администратора),19000,20000,RUR,Оренбург,2022-12-15T08:43:30+0300
Инженер-программист станков с ЧПУ,80000,,RUR,Нижний Новгород,2022-12-15T08:57:59+0300
Оператор станков с ЧПУ,80000,120000,RUR,,2022-12-15T08:57:47+0300
Наладчик станков с ЧПУ,80000,120000,RUR,,2022-12-15T08:56:50+0300
Data engineer (Python Hadoop Spark),,,,,2022-12-15T08:42:19+0300
Заместитель главного инженера,100000,,RUR,,2022-12-15T08:19:23+0300
Инженер-программист,70000,,RUR,Пермь,2022-12-15T08:57:38+0300
Начальник линейно-кабельного цеха,45000,,RUR,Ульяновск,2022-12-15T08:14:11+0300
Оператор станка с ЧПУ (лазерная резка металла),72000,86000,RUR,Санкт-Петербург,2022-12-15T08:18:17+0300
Техник по предпродажной подготовке автомобилей,50000,,RUR,Новокузнецк,2022-12-15T08:35:15+0300
